,SPY,QQQ,SMH,NVDA,TSLA,MU,AAPL,BND,IEF,TLT
SPY,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
QQQ,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
SMH,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
NVDA,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
TSLA,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
MU,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
AAPL,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
BND,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
IEF,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
TLT,2636,2636,2636,2636,2636,2636,2636,2636,2636,2636
