,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SPY,0.9163524148618031,0.0299296017492752,0.05936016537915299,-0.20454419146108022,-0.08771175621975454,-0.2769107391522438,-0.07776246812362102,-0.11601140295339452,0.0001896486382347361,-0.10080636167559302
QQQ,0.9639879733907489,0.06904244922588289,0.06225368757329335,-0.11986376861026461,4.7582498186689086e-05,-0.0928671797297138,-0.1034410729361266,-0.015003278217258994,0.04856261742285266,0.16065393131671143
SMH,0.9336523378410371,0.04335605144135681,-0.21667754066789482,0.08059371462901661,0.044297698165137914,-0.02911278851991871,-0.08704347137674817,0.2437144621748866,-0.03991402931271919,-0.03990972491973183
NVDA,0.8188324963689151,0.04909362137246753,-0.18369770624871828,0.09809539304553687,0.5115210392704528,0.0727840504916471,0.09630888381745596,-0.08536095806870515,0.008326430057963035,-0.012372974121525075
TSLA,0.6201371638679142,0.0693457972678093,0.5876119049680617,0.5112039855583446,-0.05321454103481224,0.012737856388383225,0.02961861256906953,6.077642594907591e-06,-0.003384379136269789,-0.011001638410296787
MU,0.7472662933340369,-0.021969500655767114,-0.4686786118868307,0.2608559975715937,-0.35306301789529154,0.13405900250311034,0.06067894399363244,-0.08304499862563795,0.013536878570734781,0.004239256856301647
AAPL,0.7849892790035301,0.05276031454437498,0.2778244080987657,-0.4399624572307609,-0.09114356349853935,0.3107205109291024,0.06611565004144312,0.018456058517644584,-0.01109316316446866,-0.02377954848352005
BND,0.07306611887157717,0.9409948034981293,-0.013666908030683367,-0.08052385024800005,-0.06532490576724338,-0.17373897893100188,0.24400394825807445,0.03917996374299794,-0.07842216980840425,0.029045448409423774
IEF,-0.15875545382904407,0.9607937596199052,-0.016452621437700564,0.018394900479040067,0.004671980384016599,0.04221965352221549,-0.038987021083868166,0.0260240234331363,0.2143395203955211,-0.033466432180737964
TLT,-0.16896678166578866,0.9403492931183765,-0.0262638510369747,0.06133884099975751,0.03542602347397471,0.12865417867141238,-0.19975784612849132,-0.07075909791054573,-0.14150132156576184,0.0012721942189963683
