,SPY,QQQ,SMH,NVDA,TSLA,MU,AAPL,BND,IEF,TLT
SPY,1.0,0.9329423490077067,0.8141920708313977,0.6594807065494676,0.5006013771400493,0.601260560438018,0.744454496819219,0.13815477095080148,-0.13013291036329758,-0.15593992662801665
QQQ,0.9329423490077067,1.0,0.8795768913118985,0.7525403556561984,0.5717175993190998,0.6422359473328477,0.7900590370918015,0.13536608472712014,-0.08517772227475,-0.10383382557799427
SMH,0.8141920708313977,0.8795768913118985,1.0,0.8058573784335769,0.49114601320332724,0.7735367113422121,0.6265895263962887,0.09793277284773129,-0.10002444517203173,-0.10278856145095334
NVDA,0.6594807065494676,0.7525403556561984,0.8058573784335769,1.0,0.43006341044129043,0.5646424986929108,0.5321585311246316,0.07371977909410969,-0.07631325178408156,-0.0682558764779795
TSLA,0.5006013771400493,0.5717175993190998,0.49114601320332724,0.43006341044129043,1.0,0.3420335804205762,0.4398676988828746,0.06980643164399461,-0.03330999073290716,-0.02934808440874155
MU,0.601260560438018,0.6422359473328477,0.7735367113422121,0.5646424986929108,0.3420335804205762,1.0,0.41652218084995696,0.029713195829060887,-0.1249881666267604,-0.1220276421556607
AAPL,0.744454496819219,0.7900590370918015,0.6265895263962887,0.5321585311246316,0.4398676988828746,0.41652218084995696,1.0,0.10763830220352716,-0.07758010029284143,-0.09353448445295705
BND,0.13815477095080148,0.13536608472712014,0.09793277284773129,0.07371977909410969,0.06980643164399461,0.029713195829060887,0.10763830220352716,1.0,0.8573311376800357,0.8028910601278655
IEF,-0.13013291036329758,-0.08517772227475,-0.10002444517203173,-0.07631325178408156,-0.03330999073290716,-0.1249881666267604,-0.07758010029284143,0.8573311376800357,1.0,0.9130384321405128
TLT,-0.15593992662801665,-0.10383382557799427,-0.10278856145095334,-0.0682558764779795,-0.02934808440874155,-0.1220276421556607,-0.09353448445295705,0.8028910601278655,0.9130384321405128,1.0
