,SPY,QQQ,SMH,NVDA,TSLA,MU,AAPL,BND,IEF,TLT
SPY,0.0001269269655157198,0.00014781065555716442,0.00018897588340653656,0.00022982154152341891,0.00020753017436748864,0.00021741149507105228,0.00015261625848207527,5.344731259646164e-06,-6.067732321922327e-06,-1.635232262518594e-05
QQQ,0.00014781065555716442,0.00019776433536827234,0.0002548298888543807,0.00032735235639272115,0.0002958474366613257,0.00028987544870460373,0.00020217117172514592,6.536825506634079e-06,-4.957495535621867e-06,-1.3591206622657258e-05
SMH,0.00018897588340653656,0.0002548298888543807,0.0004244290816529445,0.0005135378324829993,0.00037232778980683055,0.0005114772638301786,0.00023489371369017848,6.928092148520977e-06,-8.52846831409128e-06,-1.9710267925797213e-05
NVDA,0.00022982154152341891,0.00032735235639272115,0.0005135378324829993,0.0009568048767643406,0.000489504227653314,0.0005605677252006745,0.0002995286815787813,7.830306332567775e-06,-9.769536775311854e-06,-1.9651554526727856e-05
TSLA,0.00020753017436748864,0.0002958474366613257,0.00037232778980683055,0.000489504227653314,0.001354018270538963,0.00040394649621923755,0.0002945235520481518,8.82044990932116e-06,-5.072815841593763e-06,-1.005164621762429e-05
MU,0.00021741149507105228,0.00028987544870460373,0.0005114772638301786,0.0005605677252006745,0.00040394649621923755,0.00103011490968142,0.00024325773920702811,3.274728044858949e-06,-1.6602521699256228e-05,-3.6454087289392335e-05
AAPL,0.00015261625848207527,0.00020217117172514592,0.00023489371369017848,0.0002995286815787813,0.0002945235520481518,0.00024325773920702811,0.0003311093097964581,6.725670274870716e-06,-5.842495074773045e-06,-1.58417306755535e-05
BND,5.344731259646164e-06,6.536825506634079e-06,6.928092148520977e-06,7.830306332567775e-06,8.82044990932116e-06,3.274728044858949e-06,6.725670274870716e-06,1.179141907240329e-05,1.2184114086542951e-05,2.5661665069769073e-05
IEF,-6.067732321922327e-06,-4.957495535621867e-06,-8.52846831409128e-06,-9.769536775311854e-06,-5.072815841593763e-06,-1.6602521699256228e-05,-5.842495074773045e-06,1.2184114086542951e-05,1.7128709525761067e-05,3.517195862020642e-05
TLT,-1.635232262518594e-05,-1.3591206622657258e-05,-1.9710267925797213e-05,-1.9651554526727856e-05,-1.005164621762429e-05,-3.6454087289392335e-05,-1.58417306755535e-05,2.5661665069769073e-05,3.517195862020642e-05,8.663439473429039e-05
