,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SPY,0.41272761149713744,0.018177985833487568,0.06941051724286236,-0.26278722875206184,-0.13654285424061,-0.5487418245375985,-0.20528550879103116,-0.37674133788258235,0.0006858882948483175,-0.501609753460663
QQQ,0.4341827961784033,0.041933490276654856,0.0727939456896355,-0.15399443687875755,7.407274001025993e-05,-0.18403080285205797,-0.2730745795494191,-0.04872240973127003,0.17563285013575597,0.7994096557079997
SMH,0.42051954369975025,0.02633264871010281,-0.25336351535758683,0.10354241189109313,0.06895921828999595,-0.05769153171417547,-0.2297864733422153,0.7914507557329233,-0.14435413700119268,-0.1985897213718858
NVDA,0.36880437587273496,0.029817408240152377,-0.21479981946830726,0.1260276144125358,0.7962962516805736,0.14423294952842025,0.2542462796336733,-0.2772055222766532,0.03011358777889719,-0.061567587556094046
TSLA,0.27931145953537223,0.04211773116482131,0.6871012909310534,0.6567670180819956,-0.08284026717915444,0.025242049393455885,0.07819031594084569,1.973684606932562e-05,-0.012240035343797877,-0.05474385781734313
MU,0.336570764040153,-0.013343354015694569,-0.5480312371763787,0.33513356803503763,-0.5496211028934929,0.26565882513065825,0.16018663233313127,-0.26968455763998334,0.04895783406025746,0.021094428478522758
AAPL,0.35356129903673367,0.0320444040115309,0.32486324365261676,-0.5652397854212262,-0.1418852254488089,0.6157411612510546,0.17453901844049913,0.05993514431309788,-0.04011982811041334,-0.11832639581428685
BND,0.03290917799106789,0.5715208090862302,-0.015980871169430994,-0.10345265394223778,-0.10169274303561833,-0.34429088804490604,0.6441471814596873,0.12723500951590044,-0.28362369922010655,0.14452937268673383
IEF,-0.07150388672341422,0.5835458653136556,-0.01923823757392801,0.023632765543365214,0.007272976441054242,0.08366482923722335,-0.10292202205728876,0.08451173898160816,0.7751859941157394,-0.1665280694229481
TLT,-0.07610309645966992,0.5711287531331702,-0.030710620053395695,0.0788047997161371,0.05514848371536681,0.25494832361746256,-0.5273416863813702,-0.22978669799289433,-0.5117574324335296,0.006330404331013119
