,eigenvalue,explained_variance_ratio,cumulative_explained_variance
PC1,4.929444814598574,0.49294448145985736,0.49294448145985736
PC2,2.7108803828638837,0.2710880382863884,0.7640325197462458
PC3,0.7313742115956159,0.0731374211595616,0.8371699409058073
PC4,0.6058509485903103,0.06058509485903103,0.8977550357648384
PC5,0.41264601912577736,0.041264601912577734,0.9390196376774161
PC6,0.2546498776728504,0.025464987767285042,0.9644846254447011
PC7,0.1434906113338518,0.01434906113338518,0.9788336865780863
PC8,0.09482324342942272,0.009482324342942272,0.9883160109210286
PC9,0.0764526730493188,0.00764526730493188,0.9959612782259605
PC10,0.04038721774039369,0.0040387217740393685,0.9999999999999999
